№ пп;Субъект РФ;Муниципальное образование;Поселение;Населенный пункт;Уникальный идентификатор ФИАС;Кол-во СКД ед.;Факт СКД ед.
245;Амурская область;Мазановский Район;Дмитриевский сельсовет;Бичура Село;8b78e9e9-dfd9-485d-bc93-3b0006d21d9f;1;1
246;Амурская область;Мазановский Район;Дмитриевский сельсовет;Дмитриевка Село;be250a0e-5804-4326-a056-8c9f0024100f;1;1
247;Амурская область;Мазановский Район;Дмитриевский сельсовет;Каничи Село;10aa981b-b308-4296-a0f4-d96481594398;1;1
248;Амурская область;Мазановский Район;Дмитриевский сельсовет;Паутовка Село;3dd62336-f341-4ce4-bacb-0a27e3e8508d;1;1
249;Амурская область;Мазановский Район;Краснояровский сельсовет;Антоновка Село;0b94f7eb-c497-4120-894e-7ecfaa51274a;1;1
250;Амурская область;Мазановский Район;Краснояровский сельсовет;Красноярово Село;39dbaa5f-e381-4939-baa3-c6a6765dbc06;1;1
251;Амурская область;Мазановский Район;Краснояровский сельсовет;Леонтьевка Село;dc24f882-20d6-425a-af7c-ad2e1ac44fd2;1;1
252;Амурская область;Мазановский Район;Краснояровский сельсовет;Михайловка Село;03a06ea2-7106-42cb-bdb5-d42f506f0b68;1;1
253;Амурская область;Мазановский Район;Краснояровский сельсовет;Петровка Село;91946ddb-a336-4b57-a1ed-7090ab4c4111;1;1
254;Амурская область;Мазановский Район;Мазановский сельсовет;Мазаново Село;259e5daa-4b91-458d-8700-680337a5d375;1;1
255;Амурская область;Мазановский Район;Майский сельсовет;Ивановский Поселок;393c46bb-9128-44a9-a53e-a18b88cd694b;1;1
256;Амурская область;Мазановский Район;Маргаритовский сельсовет;Маргаритовка Село;c315df15-5726-477f-af91-a8c366f03de5;1;1
257;Амурская область;Мазановский Район;Молчановский сельсовет;Молчаново Село;78563901-5c28-4128-a267-91bb60be1ef8;1;1
258;Амурская область;Мазановский Район;Молчановский сельсовет;Поповка Село;8ac3869e-e038-4a1b-8411-7a10b3800ec5;1;1
259;Амурская область;Мазановский Район;Молчановский сельсовет;Спицино Село;044a7892-ae19-4226-9409-58a04fb6b258;1;1
260;Амурская область;Мазановский Район;Новокиевский сельсовет;Новокиевка Село;94caa5c3-c0a1-4d49-8407-fecf63495ceb;1;1
261;Амурская область;Мазановский Район;Новокиевский сельсовет;Новокиевский Увал Село;78ebd226-f10f-4f63-89fc-01f35f99bccc;2;2
262;Амурская область;Мазановский Район;Новокиевский сельсовет;Пионерский Поселок;982c5055-f3b4-45a1-909c-d48e1f34bfef;1;1
263;Амурская область;Мазановский Район;Новороссийский сельсовет;Новороссийка Село;d16cd888-d4b7-4871-8eaa-ed0959063d39;1;1
264;Амурская область;Мазановский Район;Новороссийский сельсовет;Слава Село;7c5258d7-9356-42e2-b8ef-7982270210ea;1;1
265;Амурская область;Мазановский Район;Практичанский сельсовет;Практичи Село;94bd6f85-b587-402f-9ecf-e8bef6ac13ee;1;1
266;Амурская область;Мазановский Район;Практичанский сельсовет;Сохатино Село;153035b5-bdac-4fa8-8de3-4c8c94874281;1;1
267;Амурская область;Мазановский Район;Путятинский сельсовет;Путятино Село;6caea5b9-87ea-4b95-a0ce-a2e346054c0c;1;1
268;Амурская область;Мазановский Район;Путятинский сельсовет;Таскино Село;72972370-3d5f-42ac-9f00-3c1eab36a235;2;1
269;Амурская область;Мазановский Район;Романкауцкий сельсовет;Дружное Село;2cdcab43-5b9f-4e60-97f6-a6ce699003bf;1;1
270;Амурская область;Мазановский Район;Романкауцкий сельсовет;Раздольное Село;b85ecbe1-e750-4a73-9776-93fbd533c750;1;1
271;Амурская область;Мазановский Район;Романкауцкий сельсовет;Романкауцы Село;e0cb8f5a-376c-46b0-bd95-7f82022838be;1;1
272;Амурская область;Мазановский Район;Сапроновский сельсовет;Алексеевка Село;7df5bb7c-fa69-4ddf-9c9a-169d1c5c97e3;1;1
273;Амурская область;Мазановский Район;Сапроновский сельсовет;Кольцовка Село;c6c0f046-4008-41c7-965a-a3ec3aafa6e4;1;1
274;Амурская область;Мазановский Район;Сапроновский сельсовет;Сапроново Село;f2429039-7584-47f1-a0ba-ea2e72e6cb16;1;1
275;Амурская область;Мазановский Район;Сапроновский сельсовет;Христиновка Село;0732cd9f-dc25-4791-908b-973babbc8372;1;1
276;Амурская область;Мазановский Район;Угловской сельсовет;Абайкан Село;c53fc14f-31cc-43c8-a396-c32602b8ffe0;1;1
277;Амурская область;Мазановский Район;Угловской сельсовет;Угловое Село;246bf709-f28d-4be5-aac0-4b273acf48da;1;1
278;Амурская область;Мазановский Район;Угловской сельсовет;Ульма Село;af19d6a7-2ce3-4e08-adf2-a1324e8fb426;1;1
279;Амурская область;Михайловский Район;;Арсентьевка Село;2e63cbbb-3d7b-4547-a4af-f46cd8d545e4;1;1
280;Амурская область;Михайловский Район;Воскресеновский сельсовет;Воскресеновка Село;a427d325-672f-4a82-94d3-bc3b849eac9a;1;1
281;Амурская область;Михайловский Район;Воскресеновский сельсовет;Воскресеновка Станция;da4ac188-25a5-43b0-b47a-11f92929a59a;1;1
282;Амурская область;Михайловский Район;Воскресеновский сельсовет;Кавказ Село;b49a73d1-758a-46ef-bfbe-ef266a1c018f;1;1
283;Амурская область;Михайловский Район;Воскресеновский сельсовет;Шумиловка Село;dd379082-651d-433b-8d0f-e6ca0dbec2fb;1;1
284;Амурская область;Михайловский Район;Димский сельсовет;Дим Село;fdeebaa3-9d60-460a-a7ab-2fbf2d07360c;1;1
285;Амурская область;Михайловский Район;Дубовской сельсовет;Дубовое Село;6ec90632-f029-41c5-8f64-a9be76a084d8;1;1
286;Амурская область;Михайловский Район;Дубовской сельсовет;Привольное Село;90ebfab6-d830-4162-81d6-4c1b51af3be5;1;1
287;Амурская область;Михайловский Район;Дубовской сельсовет;Шурино Село;71d346f0-7f9b-47e8-862d-dee3819ffa5a;1;0
288;Амурская область;Михайловский Район;Зеленоборский сельсовет;Зеленый Бор Село;9b9f5924-4cfc-4cf4-8972-8c332041453e;1;1
289;Амурская область;Михайловский Район;Зеленоборский сельсовет;Красный Яр Село;f3ec44eb-9768-49d6-87ef-e8e02aa24ae5;1;1
290;Амурская область;Михайловский Район;Зеленоборский сельсовет;Черемисино Село;51e52a70-6588-4cf4-baec-7a5781c70aa6;1;1
291;Амурская область;Михайловский Район;Ильиновский сельсовет;Нижняя Ильиновка Село;24d328c8-20f4-4bc1-b1f6-44c55eba55ec;1;1
292;Амурская область;Михайловский Район;Ильиновский сельсовет;Ярославка Село;0234f94b-82f4-4389-a25d-a81090910ae3;1;1
293;Амурская область;Михайловский Район;Калининский сельсовет;Винниково Село;2637fae1-5784-4654-96e5-c0b2ea459a3e;1;1
294;Амурская область;Михайловский Район;Калининский сельсовет;Калинино Село;3868cc84-aa5e-42d3-bf5e-3af931b49586;1;1
295;Амурская область;Михайловский Район;Коршуновский сельсовет;Коршуновка Село;d562463e-c2be-48b4-8de8-25c43931a32a;1;1
296;Амурская область;Михайловский Район;Коршуновский сельсовет;Красный Восток Село;1c707bd6-7044-4274-8095-6d331d2e5027;1;1
297;Амурская область;Михайловский Район;Коршуновский сельсовет;Нижняя Завитинка Село;7742f4d1-629e-480b-9a24-aea70b19c3e8;1;1
298;Амурская область;Михайловский Район;Михайловский сельсовет;Михайловка Село;b84a7503-3c5f-4e6b-9288-825f45dcd97c;1;1
299;Амурская область;Михайловский Район;Михайловский сельсовет;Новогеоргиевка Село;cbbb135c-9acc-491b-a5dd-b4728c5dafe2;1;1
300;Амурская область;Михайловский Район;Михайловский сельсовет;Петропавловка Село;03d722e6-ed7d-4a4c-b952-7fa5779bd428;1;1
301;Амурская область;Михайловский Район;Новочесноковский сельсовет;Высокое Село;1eef0bf3-678c-4fbe-a40b-dd790bb2c12c;1;1
302;Амурская область;Михайловский Район;Новочесноковский сельсовет;Куприяново Село;feeb165d-76b5-4fb4-ac77-ede2a557b5c3;1;0
303;Амурская область;Михайловский Район;Новочесноковский сельсовет;Новочесноково Село;598a4301-bdc7-4c0e-a369-a78f96e96cc6;1;1
304;Амурская область;Михайловский Район;Поярковский сельсовет;Поярково Село;2cd7ba60-953f-4669-94df-eaf559e21712;1;3
305;Амурская область;Михайловский Район;Чесноковский сельсовет;Красная Орловка Село;47042c73-6315-42cf-8c2e-a4b7509c1150;1;1
306;Амурская область;Михайловский Район;Чесноковский сельсовет;Чесноково Село;002d0c4c-97c8-476e-9611-7341f463d736;1;1
307;Амурская область;Михайловский Район;Чесноковский сельсовет;Шадрино Село;51682e39-9be0-476d-99a0-a4094484c4a2;1;1
308;Амурская область;Октябрьский Район;Борисоглебский сельсовет;Борисоглебка Село;bcab39be-6d00-4eba-893e-d3c316a02438;1;1
309;Амурская область;Октябрьский Район;Борисоглебский сельсовет;Ильиновка Село;5317fe44-598a-4945-bec7-dc26084aa159;1;1
310;Амурская область;Октябрьский Район;Восточный сельсовет;Прибрежный Поселок;5b648bb7-796a-4f7b-83e1-ccafeccd1fc7;1;1
311;Амурская область;Октябрьский Район;Екатеринославский сельсовет;Нагорный Поселок;82cff82b-3c0a-4787-8497-a86a01a90920;1;0
312;Амурская область;Октябрьский Район;Королинский сельсовет;Георгиевка Село;4024b50c-0911-4bcd-b33a-5ae631c82b01;1;0
313;Амурская область;Октябрьский Район;Королинский сельсовет;Короли Село;e5255879-dea2-4944-8538-39ac652a9d6b;1;1
314;Амурская область;Октябрьский Район;Королинский сельсовет;Смирновка Село;73e28399-4592-424e-a6bc-16c692003353;1;1
315;Амурская область;Октябрьский Район;Максимовский сельсовет;Кутилово Село;4f24e14d-23be-4311-96e3-3c337c9109bf;1;1
316;Амурская область;Октябрьский Район;Новомихайловский сельсовет;Новомихайловка Село;48f251fe-1e93-4beb-801f-ec13e6a395fd;1;1
317;Амурская область;Октябрьский Район;Новомихайловский сельсовет;Сергее-Федоровка Село;9d80442d-58f5-438e-b554-5b82a0aad08e;1;1
318;Амурская область;Октябрьский Район;Новомихайловский сельсовет;Троебратка Станция;0fa1384e-6d49-4256-a538-1f5e34a7d875;1;0
319;Амурская область;Октябрьский Район;Новомихайловский сельсовет;Харьковка Село;b842ebe5-73da-481c-addf-0051d8fa6412;1;1
320;Амурская область;Октябрьский Район;Панинский сельсовет;Панино Село;cb739f1b-4d9b-4617-bb3a-ed4f99895d13;1;1
321;Амурская область;Октябрьский Район;Панинский сельсовет;Южный Поселок;ba9efeb6-395e-4839-91dd-75202497bd37;1;0
322;Амурская область;Октябрьский Район;Переясловский сельсовет;Переясловка Село;7af317fc-32e8-458b-9071-333a85caf39d;1;1
323;Амурская область;Октябрьский Район;Переясловский сельсовет;Преображеновка Село;f9431e4e-faed-478b-8ee2-cbe3eb21c2ed;1;0
324;Амурская область;Октябрьский Район;Романовский сельсовет;Марьяновка Село;be3ce7cc-02de-4846-9873-841da97a3412;1;1
325;Амурская область;Октябрьский Район;Романовский сельсовет;Романовка Село;ecd1aa2c-35ab-4f52-a37d-c89eab225257;1;1
326;Амурская область;Октябрьский Район;Смеловский сельсовет;Беляковка Село;2198e3c1-3b56-433f-b3dc-481b0c1792d2;1;0
327;Амурская область;Октябрьский Район;Смеловский сельсовет;Смелое Село;77828680-1ee1-44b9-91eb-5d3690a265d3;1;1
328;Амурская область;Октябрьский Район;Смеловский сельсовет;Ясная Поляна Село;63f7ba0c-a0e5-40ff-8229-417593f9bb73;1;1
329;Амурская область;Октябрьский Район;Трудовой сельсовет;Трудовой Поселок;6adfbcea-d191-4ad0-9480-5bf52cbaca50;1;1
330;Амурская область;Октябрьский Район;Трудовой сельсовет;Увальный Поселок;6d1289ae-7437-462d-8b32-1979f01f0207;1;1
331;Амурская область;Прогресс Поселок городского типа;;Кивдинский Поселок;c3d53086-a4fe-46ae-aa1e-67a9c91c40b1;1;1
332;Амурская область;Прогресс Поселок городского типа;;Новорайчихинск Поселок городского типа;60487e56-ce58-48a3-a066-dbe840346d71;1;1
333;Амурская область;Прогресс Поселок городского типа;рабочий поселок (поселок городского типа) Прогресс;рабочий поселок (поселок городского типа) Прогресс;16de8821-04f5-4239-b33b-739f8eff7c88;1;1
334;Амурская область;Райчихинск Город;;Широкий Поселок городского типа;d4eb5676-c991-405a-bf44-fc44fbc32a38;1;1
335;Амурская область;Райчихинск Город;город Райчихинск;город Райчихинск;981b5f3a-f0b6-444f-a6fb-c2bc10804b31;2;2
336;Амурская область;Райчихинск Город;город Райчихинск;Угольное Село;2f79ae45-6399-47d1-a6c6-fed6f9346b77;1;1
337;Амурская область;Ромненский Район;;Калиновка Село;316e9240-4799-4a9a-b145-6b6a0eaeee23;1;1
338;Амурская область;Ромненский Район;;Поздеевка Село;8829ae29-f0eb-4f68-bee3-8916bef26535;1;1
339;Амурская область;Ромненский Район;Амаранский сельсовет;Амаранка Село;61f80b67-e0bd-4db0-9978-4010853bdf4f;1;1
340;Амурская область;Ромненский Район;Амаранский сельсовет;Восточная Нива Село;f16e8392-178d-4197-8262-4d7eb9a1e364;1;1
341;Амурская область;Ромненский Район;Амаранский сельсовет;Новониколаевка Село;bfd437ee-53d5-4db2-b415-42dc50b9f366;1;1
342;Амурская область;Ромненский Район;Верхнебельский сельсовет;Верхнебелое Село;0ae675e1-5a73-4aec-879c-5627fc7b02b3;1;0
343;Амурская область;Ромненский Район;Верхнебельский сельсовет;Новороссийка Село;aad508bf-a0ff-46e1-91da-ec0933302533;1;1
344;Амурская область;Ромненский Район;Дальневосточный сельсовет;Григорьевка Село;8ea28503-a372-4cee-b659-846985d3522d;1;1
345;Амурская область;Ромненский Район;Дальневосточный сельсовет;Дальневосточное Село;351d36df-87f6-42ef-975f-a2306c8d913a;1;1
346;Амурская область;Ромненский Район;Знаменский сельсовет;Знаменка Село;db379750-0df1-4daf-b3bb-090acbe47c0f;1;1
347;Амурская область;Ромненский Район;Знаменский сельсовет;Кузьмичи Село;e111b790-4168-42b9-b8cd-dc2dfba5b95f;1;1
348;Амурская область;Ромненский Район;Каховский сельсовет;Каховка Село;ea69e2d9-fb52-4b00-98bd-10238ee33a86;1;1
349;Амурская область;Ромненский Район;Каховский сельсовет;Новый Быт Село;3ba8bbbc-aca9-41d5-9c83-3cbf64f9fd7b;1;1
350;Амурская область;Ромненский Район;Каховский сельсовет;Серединное Село;bc5415a5-de05-494e-967b-32be21ef18b6;1;1
351;Амурская область;Ромненский Район;Рогозовский сельсовет;Вознесеновка Село;f8ae3a92-c54d-4ee5-b8eb-eb4e6aba4379;1;1
352;Амурская область;Ромненский Район;Рогозовский сельсовет;Высокое Село;662b9729-46d4-48fb-8111-160525e09828;1;1
353;Амурская область;Ромненский Район;Рогозовский сельсовет;Климовка Село;e72a1200-6ad5-403c-a9ab-736aa648607f;1;1
354;Амурская область;Ромненский Район;Рогозовский сельсовет;Рогозовка Село;c6f3a2e8-3cba-4fd6-a55d-32ec0e511e22;1;1
355;Амурская область;Ромненский Район;Ромненский сельсовет;Ромны Село;30115627-72c7-435c-8d2b-9b3656de42ae;1;2
356;Амурская область;Ромненский Район;Святоруссовский сельсовет;Любимое Село;375151a4-f800-4591-b5ae-49b88fbe9e9a;1;1
357;Амурская область;Ромненский Район;Святоруссовский сельсовет;Морозовка Село;cec24540-3bff-47b3-9a14-89d789fee2cd;1;1
358;Амурская область;Ромненский Район;Святоруссовский сельсовет;Святоруссовка Село;bb6c039b-a4e6-4cfd-a979-a0c68b254e84;1;1
359;Амурская область;Ромненский Район;Чергалинский сельсовет;Братолюбовка Село;d701338b-7e9e-435c-a305-86cd2d5d7ef9;1;1
360;Амурская область;Ромненский Район;Чергалинский сельсовет;Придорожное Село;da3eafc7-3526-410e-a7f2-bf541d6515f0;1;1
361;Амурская область;Ромненский Район;Чергалинский сельсовет;Райгородка Село;d91c6123-cede-4a9b-9572-ac4fadc60660;1;1
362;Амурская область;Ромненский Район;Чергалинский сельсовет;Смоляное Село;51e4d05d-a833-4809-8f9e-020c6c27b71a;1;1
363;Амурская область;Ромненский Район;Чергалинский сельсовет;Хохлатское Село;34d1d0b1-bdb3-4a5c-81b1-3c37a55a94f9;1;1
364;Амурская область;Ромненский Район;Чергалинский сельсовет;Чергали Село;8baff713-73d8-4202-859b-bc5e16311662;1;1
365;Амурская область;Свободненский Район;;Голубое Село;6ff2f522-4338-4c1e-8fc8-f896bcd0ef6f;1;1
366;Амурская область;Свободненский Район;;Маркучи Село;7659a47e-3cb1-49e8-85db-f4514141028e;1;1
367;Амурская область;Свободненский Район;;Новостепановка Село;620338ad-be2c-4f78-a83e-318af6f17756;1;1
368;Амурская область;Свободненский Район;;Рогачевка Село;54d81f6e-d135-425a-9c02-638986ef5681;1;1
369;Амурская область;Свободненский Район;;Талали Село;8d9d84cd-9169-4fe5-9595-c252537fab1f;1;1
370;Амурская область;Свободненский Район;;Усть-Пера Село;4a82b512-9b5b-4155-9d82-b2c4003cb329;1;1
371;Амурская область;Свободненский Район;;Черниговка Село;4f1e23b1-1913-4517-84b5-c89ad446a468;1;1
372;Амурская область;Свободненский Район;Дмитриевский сельсовет;Дмитриевка Село;a0426dcb-0582-4fd8-a617-0a40e1c506bf;1;1
373;Амурская область;Свободненский Район;Дмитриевский сельсовет;Юхта-3 Поселок;2710eddd-9f40-4026-9ca6-b5653fef7b31;1;1
374;Амурская область;Свободненский Район;Дмитриевский сельсовет;Юхта Поселок;2133f896-e624-4222-849b-cfe8cb1ce9bf;1;1
375;Амурская область;Свободненский Район;Желтояровский сельсовет;Гащенка Село;5136c76d-8489-4334-9ef5-6aba3c519f88;1;1
376;Амурская область;Свободненский Район;Желтояровский сельсовет;Желтоярово Село;07756d7b-a989-4bcd-9e2a-20268e8f5afc;1;1
377;Амурская область;Свободненский Район;Желтояровский сельсовет;Заган Село;d0013f57-bc06-4e82-ac44-f4493490d5be;1;1
378;Амурская область;Свободненский Район;Желтояровский сельсовет;Новоникольск Село;0a3e48fb-13bb-4b74-bd9d-26b98d379990;1;1
379;Амурская область;Свободненский Район;Загорно-Селитьбинский сельсовет;Загорная Селитьба Село;59ae1804-8656-438b-8372-d93065b3db83;1;1
380;Амурская область;Свободненский Район;Климоуцевский сельсовет;Климоуцы Село;7ebce4f1-6bfe-4713-be13-512836ffbd1c;1;1
381;Амурская область;Свободненский Район;Костюковский сельсовет;Зиговка Село;3668a53c-e673-448a-a633-b0f068e97dcd;1;1
382;Амурская область;Свободненский Район;Костюковский сельсовет;Костюковка Село;81575612-1176-4dc0-aac5-96ed9ec5c0c7;1;1
383;Амурская область;Свободненский Район;Костюковский сельсовет;Малый Эргель Село;afa38fbe-96c2-4b45-a622-f8d5be9f42ab;1;1
384;Амурская область;Свободненский Район;Костюковский сельсовет;Серебрянка Село;dd00f54f-c44f-4dbb-8986-750a2d31d8d1;1;1
385;Амурская область;Свободненский Район;Курганский сельсовет;Глухари Село;31f8d9e4-29e6-4125-bc2d-580ea6e3eb52;1;1
386;Амурская область;Свободненский Район;Курганский сельсовет;Курган Село;87ee906d-473a-426b-9f1b-216348cad8dc;1;1
387;Амурская область;Свободненский Район;Малосазанский сельсовет;Малая Сазанка Село;d8dfd86a-0807-432b-a3c3-916f0d8372af;1;1
388;Амурская область;Свободненский Район;Москвитинский сельсовет;Источное Село;35c3d177-29d1-4bd4-8121-271b8035bd3d;1;1
389;Амурская область;Свободненский Район;Москвитинский сельсовет;Москвитино Село;007814ee-f43a-4d22-87bf-29a0394b1db7;1;1
390;Амурская область;Свободненский Район;Нижнебузулинский сельсовет;Нижние Бузули Село;7fe8c063-2dcc-4583-81e8-4667061f67c2;1;1
391;Амурская область;Свободненский Район;Нижнебузулинский сельсовет;Новоострополь Село;7e9bfdc5-9267-4359-be57-506293b91bb2;1;1
392;Амурская область;Свободненский Район;Новгородский сельсовет;Бардагон Село;b8ea745d-3de7-4373-a3ea-48592b32aa3f;1;1
393;Амурская область;Свободненский Район;Новгородский сельсовет;Новгородка Село;f9377b51-bed9-428f-89d9-a863757cfc67;1;1
394;Амурская область;Свободненский Район;Новгородский сельсовет;Подгорный Поселок;84ef84f0-7d45-4128-81a1-6854331479f8;1;1
395;Амурская область;Свободненский Район;Новоивановский сельсовет;Новоивановка Село;81b7351d-c9e3-44c5-afa0-eb932a0f72fc;1;1
396;Амурская область;Свободненский Район;Петропавловский сельсовет;Буссе Село;be5ce27a-e4af-4550-a88c-8befca1bb23e;1;1
397;Амурская область;Свободненский Район;Петропавловский сельсовет;Петропавловка Село;a74c0353-05f4-420a-8f81-6f04ddcedac5;1;1
398;Амурская область;Свободненский Район;Семеновский сельсовет;Семеновка Село;896f35c2-ed46-4293-a9fa-640ebe6d86f3;1;1
399;Амурская область;Свободненский Район;Семеновский сельсовет;Сукромли Село;c9cad8ab-8d27-48d7-bdc7-bb747ddb81ea;1;1
400;Амурская область;Свободненский Район;Сычевский сельсовет;Гуран Село;c7f565b6-7b51-43ca-bff3-c744f3287334;1;1
401;Амурская область;Свободненский Район;Сычевский сельсовет;Сычевка Село;3f0e3374-4b83-4d19-80fa-b99396b569ef;1;1
402;Амурская область;Свободненский Район;Черновский сельсовет;д/о Бузули Село;8387d2e9-5dbd-4fc9-ad9f-20d04330746b;1;1
403;Амурская область;Свободненский Район;Черновский сельсовет;Разливная Село;55034e39-5aa3-4056-aff1-ca7c1e2bfe5d;1;1
404;Амурская область;Свободненский Район;Черновский сельсовет;Чембары Село;f30f65d1-ccd8-481a-8c5e-f6f3ef4cd239;1;1
405;Амурская область;Свободненский Район;Черновский сельсовет;Черновка Село;811fd328-362a-4f5b-9489-0eba7e1fb0de;1;1
406;Амурская область;Свободный Город;город Свободный;город Свободный;dd560dfa-3feb-48e2-aa3b-b71213e7441e;3;3
407;Амурская область;Селемджинский Район;;Селемджинск Село;72985d57-2d75-4785-935c-e50b0bb3fd87;1;1
408;Амурская область;Селемджинский Район;;Стойба Село;9a0261a0-9a9d-4a42-ae91-fd7ce38a0b05;1;1
409;Амурская область;Селемджинский Район;Златоустовский сельсовет;Златоустовск Поселок;b4786ab0-2cf2-40d0-8c32-75d3e4f61bcb;1;1
410;Амурская область;Селемджинский Район;Златоустовский сельсовет;Ольгинск Село;02f3c747-8f94-4ffa-b0be-9fc59729b3ef;1;1
411;Амурская область;Селемджинский Район;Ивановский сельсовет;Ивановское Село;f07d3ec7-8c27-4ec6-8ed8-837b34a416ba;1;1
412;Амурская область;Селемджинский Район;Исинский сельсовет;Иса Поселок;3dd5684b-f591-464e-a203-7e08cdbe5d8d;1;1
413;Амурская область;Селемджинский Район;Коболдинский сельсовет;Коболдо Село;70b9d1b0-0278-4f26-b4c3-a5f9615d1f01;1;1
414;Амурская область;Селемджинский Район;Норский сельсовет;Бысса Село;d7f47d92-08db-44ad-8ded-19cb3707ab94;1;1
415;Амурская область;Селемджинский Район;Норский сельсовет;Норск Село;577c2d84-0420-49ae-958b-b974c049a7f0;1;1
416;Амурская область;Селемджинский Район;Огоджинский сельсовет;Огоджа Село;3e0b7c3d-9884-4ba0-99bc-a63612f8df76;1;1
417;Амурская область;Селемджинский Район;рабочий поселок (поселок городского типа) Токур;Токур Поселок городского типа;1561dac6-48c5-495c-ab44-f1d897f720d6;1;1
418;Амурская область;Селемджинский Район;рабочий поселок (поселок городского типа) Февральск;Февральское Село;dc9ce329-6d86-46d2-bacf-f06b08dc6b5d;1;1
419;Амурская область;Селемджинский Район;рабочий поселок (поселок городского типа) Февральск;Февральск Поселок городского типа;57bcc833-72d5-4ae2-9d6a-580bab0ead18;1;1
420;Амурская область;Селемджинский Район;рабочий поселок (поселок городского типа) Экимчан;Экимчан Поселок городского типа;68f52830-2387-4b81-80eb-d1fcf9808992;2;2
421;Амурская область;Серышевский Район;;Верное Село;8725de76-5647-4573-8455-78eb5c8145ef;1;1
422;Амурская область;Серышевский Район;;Новосергеевка Село;40130f23-cdd1-4331-b822-707f11e02be9;1;1
423;Амурская область;Серышевский Район;;Серышево Поселок городского типа;44cb697f-f56c-42ca-93d4-1e791801d78b;1;1
424;Амурская область;Серышевский Район;;Украинка Село;8d39877f-0b61-4681-b6bd-dda1511fbbad;1;1
425;Амурская область;Серышевский Район;Аргинский сельсовет;Арга Станция;c30692db-2188-40df-b94f-14f48bc11370;1;1
426;Амурская область;Серышевский Район;Аргинский сельсовет;Введеновка Село;75bd691d-1240-485a-a469-d67a11fd2a9b;1;1
427;Амурская область;Серышевский Район;Аргинский сельсовет;Веселое Село;8b34efee-71ec-4d09-803b-715fa1addf91;1;1
428;Амурская область;Серышевский Район;Большесазанский сельсовет;Большая Сазанка Село;dec81215-547c-4e5a-bdb1-f22dc9bd1af9;1;1
429;Амурская область;Серышевский Район;Большесазанский сельсовет;Воронжа Село;f5ed692e-0e2b-4f23-bce4-a3fab309b3f5;1;1
430;Амурская область;Серышевский Район;Большесазанский сельсовет;Ключики Село;7d40b675-a739-4f73-9857-f80204b5e50e;1;1
431;Амурская область;Серышевский Район;Водораздельненский сельсовет;Водораздельное Село;dd4e0551-2197-4e98-b213-35dceab4be70;1;2
432;Амурская область;Серышевский Район;Водораздельненский сельсовет;Мелехино Село;c64ed4bb-18cd-4400-9638-34a8d25c28a6;1;1
433;Амурская область;Серышевский Район;Казанский сельсовет;Казанка Село;7d077f5b-576d-47bd-af5a-0dbdfa1fb1e6;1;1
434;Амурская область;Серышевский Район;Казанский сельсовет;Калиновка Село;60d202f5-f329-4141-bab0-f085f1cf6c84;1;1
435;Амурская область;Серышевский Район;Казанский сельсовет;Липовка Село;8619aa5c-8c59-45a7-8fdc-549eef40b522;1;1
436;Амурская область;Серышевский Район;Казанский сельсовет;Сретенка Село;dfc4580b-d9b1-4e2a-a627-1e8168466cd7;1;1
437;Амурская область;Серышевский Район;Лебяжьевский сельсовет;Белоусовка Село;ee63ae0a-4cf6-47a0-a141-2bf6a1eaf6bb;1;1
438;Амурская область;Серышевский Район;Лебяжьевский сельсовет;Лебяжье Село;16d52a06-06ea-4558-8e54-5a8a0df34d17;1;1
439;Амурская область;Серышевский Район;Лермонтовский сельсовет;Бирма Село;bcb8f48d-039b-4949-a1dc-0f7155342ede;1;1
440;Амурская область;Серышевский Район;Лермонтовский сельсовет;Ближний Сахалин Село;3faefc5f-435c-4b67-9a8e-5646e56d0710;1;1
441;Амурская область;Серышевский Район;Лермонтовский сельсовет;Лермонтово Село;ccccec8f-6d90-45ce-b18f-e9b09b7db017;1;1
442;Амурская область;Серышевский Район;Лермонтовский сельсовет;Павловка Село;8bb0c1c1-be55-4b80-84ad-72e1c8b04705;1;1
443;Амурская область;Серышевский Район;Лиманновский сельсовет;Лиманное Село;0d23a261-cc31-4962-8e12-d9372d08a640;1;1
444;Амурская область;Серышевский Район;Лиманновский сельсовет;Пушкино Село;14e90c50-bee3-4253-990d-ab075e6c8668;1;1
445;Амурская область;Серышевский Район;Новосергеевский сельсовет;Паруновка Село;c1ef9f59-ad2b-47f2-a892-6295030c389b;1;1
446;Амурская область;Серышевский Район;Новосергеевский сельсовет;Рождественка Село;971db088-63fe-410b-86de-2ba543242ade;1;1
447;Амурская область;Серышевский Район;Озерненский сельсовет;Белоногово Село;e6c441ec-4239-44ce-9a85-95c9653aef42;1;1
448;Амурская область;Серышевский Район;Озерненский сельсовет;Добрянка Село;b0263f15-015a-4554-95c2-b8f77293551d;1;1
449;Амурская область;Серышевский Район;Озерненский сельсовет;Озерное Село;3eae460a-82b2-44f9-ba12-838b63b5f3eb;1;1
450;Амурская область;Серышевский Район;Полянский сельсовет;Поляна Село;e492489f-55a6-4001-a086-b0055eed9970;1;1
451;Амурская область;Серышевский Район;Полянский сельсовет;Ударное Село;41fb85f8-e140-44ab-9796-62c2cede437e;1;1
452;Амурская область;Серышевский Район;Сосновский сельсовет;Автономовка Село;889f6b9f-827e-46fc-86a9-ad7473fad2f9;1;1
